

Episode,TotalReward,PolicyLoss,ValueLoss
11,-53692.46581739001,0.017026346176862717,0.9439514875411987
12,-53166.71851030085,0.008177869021892548,0.938490629196167
13,-52852.54026991129,0.010601270012557507,0.9301944971084595
14,-52527.60906497948,0.0029928283765912056,0.9177544116973877
15,-52371.513349515575,0.011532529257237911,0.9167315363883972
16,-51562.68958770484,0.011802450753748417,0.903455913066864
17,-51195.9616515385,0.008887232281267643,0.9025744199752808
18,-50673.35783466697,0.015387792140245438,0.8919406533241272
19,-50072.9937920738,0.01536825392395258,0.8757171630859375
20,-49761.89219337271,0.013832331635057926,0.875963568687439
21,-48532.166283153,0.009607360698282719,0.8708959817886353
22,-48005.18614794314,0.019860239699482918,0.850821316242218
23,-47021.73982290476,0.012257181107997894,0.8504851460456848
24,-46307.57221695781,0.008352180942893028,0.8290393352508545
25,-45600.37269350141,0.009851040318608284,0.831642210483551
26,-44245.16308473796,0.007674845401197672,0.8194950819015503
27,-43555.33965352061,0.011124501936137676,0.8087260723114014
28,-42513.20856979489,0.010708550922572613,0.7876999378204346
29,-41576.35230503976,0.003916140645742416,0.789461076259613
30,-40303.01808527112,0.005733846221119165,0.7584174275398254
31,-39200.40728615224,0.008489261381328106,0.7460649013519287
32,-38342.10213907063,0.013970138505101204,0.7543534636497498
33,-37044.05507059395,0.005910208448767662,0.7491587996482849
34,-36362.947058178484,0.008322595618665218,0.7471528053283691
35,-35632.28170874715,0.003509620437398553,0.7339825630187988
36,-34812.54890987277,0.0023664517793804407,0.7405384182929993
37,-34064.95471285656,-0.003997999243438244,0.7323427796363831
38,-33517.09527871013,-0.00683933449909091,0.7134910821914673
39,-33080.08710278571,-0.011487895622849464,0.7233502268791199
40,-32722.774424031377,-0.01410791464149952,0.7214707136154175
41,-32224.24698626995,-0.0199941024184227,0.713839590549469
42,-32013.680764496326,-0.019691364839673042,0.7095276117324829
43,-31689.599248073995,-0.021158898249268532,0.7032559514045715
44,-31347.773893147707,-0.01130295917391777,0.6943413615226746
45,-31094.57266947627,-0.008910709992051125,0.6918200850486755
46,-30866.653286010027,-0.0022200029343366623,0.689333438873291
47,-30764.06533974409,0.004196854308247566,0.6867342591285706
48,-30681.140592589974,-0.0005413973121903837,0.6878630518913269
49,-30606.398982435465,-0.004562250804156065,0.6837688088417053
50,-30527.49425303936,-0.011831109412014484,0.6751356720924377
51,-30453.440577447414,-0.013498335145413876,0.6777777671813965
52,-30436.2383107841,-0.014225868508219719,0.672356367111206
53,-30235.881972551346,-0.0035332089755684137,0.6716302037239075
54,-30250.634225964546,0.0008040883112698793,0.6701497435569763
55,-30227.549113556743,0.001967200543731451,0.6683895587921143
56,-30126.70032942295,0.0016448242822661996,0.6624141335487366
57,-30175.544492587447,-0.01036673691123724,0.6673446893692017
58,-30081.603310585022,-0.013542723841965199,0.664211630821228
59,-29982.508528888226,-0.005520103499293327,0.6577060222625732
60,-30001.517161384225,0.010489963926374912,0.6582700610160828
61,-29871.63719341159,0.005365952383726835,0.6566057205200195
62,-29854.275380969048,-0.0026801133062690496,0.6550319790840149
63,-29789.74610619247,-0.014174267649650574,0.6487906575202942
64,-29759.507949739695,-0.005694023799151182,0.6483310461044312
65,-29714.719793081284,-0.00699608214199543,0.6451212763786316
66,-29691.13500136137,-0.005570783279836178,0.6441684365272522
67,-29646.882507175207,0.0036946572363376617,0.6428210735321045
68,-29597.49347232282,-0.003805909538641572,0.6409543752670288
69,-29580.99634720385,-0.0033152771648019552,0.6379021406173706
70,-29539.772386178374,-0.008844547905027866,0.636862576007843
71,-29546.26265500486,-0.007378730457276106,0.6342397332191467
72,-29517.68211147189,-0.0021700807847082615,0.6324406862258911
73,-29519.805448532104,0.000810988072771579,0.6319698691368103
74,-29483.088767319918,-0.0008301840862259269,0.6286325454711914
75,-29491.244443923235,-0.004296695347875357,0.6279556751251221
76,-29461.77540794015,-0.005038205999881029,0.626024603843689
77,-29468.033791139722,0.0003740219690371305,0.6265326738357544
78,-29433.16826455295,-0.0004982230020686984,0.62276691198349
79,-29422.42044916749,0.0012959045125171542,0.6219146251678467
80,-29424.450251743197,-0.0052478681318461895,0.6195724010467529
81,-29398.633988782763,-0.012210564687848091,0.6189854145050049
82,-29395.625880494714,-0.003077981760725379,0.6165192127227783
83,-29416.57553346455,0.00253674085251987,0.6167135834693909
84,-29419.36964726448,0.0015247536357492208,0.6162000894546509
85,-29415.182143479586,-0.0017613935051485896,0.6136681437492371
86,-29419.713217630982,-0.001978757791221142,0.6133873462677002
87,-29406.98917518556,-0.005020237062126398,0.6113632917404175
88,-29432.80631160736,0.0013185685966163874,0.6115034818649292
89,-29427.87776455283,0.0021783525589853525,0.6097036004066467
90,-29460.993046224117,-0.00258254143409431,0.6101359128952026
91,-29452.91312995553,-0.004666633903980255,0.6089304089546204
92,-29435.243901729584,0.0009461801964789629,0.606017529964447
93,-29471.181581437588,0.0029141518753021955,0.6070480346679688
94,-29459.90139311552,-0.006533055566251278,0.6058604717254639
95,-29451.4215849638,-0.007816657423973083,0.6045604944229126
96,-29463.486488208175,-0.005077431909739971,0.6033630967140198
97,-29472.949248224497,0.007140523288398981,0.6024419069290161
98,-29446.713459283113,-0.0008521676645614207,0.6014357805252075
99,-29427.34267874062,-0.008908233605325222,0.5995101928710938
100,-29434.287029206753,-0.003809964517131448,0.599250078201294
101,-29415.2685379833,-0.0006527819205075502,0.5984498858451843
102,-29415.310247257352,-0.006850124802440405,0.5984643697738647
103,-29404.36510773003,-0.0062659610994160175,0.5978931784629822
